branch_code,branch_name,college_code,core_branch
211293210,5G,2112,Electrical Engineering
412300210,Aeronautical Engineering,4123,Aeronautical Engineering
415100210,Aeronautical Engineering,4151,Aeronautical Engineering
628300210,Aeronautical Engineering,6283,Aeronautical Engineering
211301110,Agricultural Engineering,2113,Agricultural Engineering
212946310,Architectural Assistantship,2129,Civil Engineering
263799710,Artificial Intelligence,2637,Artificial Intelligence
264199710,Artificial Intelligence,2641,Artificial Intelligence
303599750F,Artificial Intelligence,3035,Artificial Intelligence
411699710,Artificial Intelligence,4116,Artificial Intelligence
413499710,Artificial Intelligence,4134,Artificial Intelligence
413699710,Artificial Intelligence,4136,Artificial Intelligence
413899710,Artificial Intelligence,4138,Artificial Intelligence
414299710,Artificial Intelligence,4142,Artificial Intelligence
417499710,Artificial Intelligence,4174,Artificial Intelligence
467999710,Artificial Intelligence,4679,Artificial Intelligence
110526310,Artificial Intelligence (AI) and Data Science,1105,Artificial Intelligence
111426310,Artificial Intelligence (AI) and Data Science,1114,Artificial Intelligence
112526310,Artificial Intelligence (AI) and Data Science,1125,Artificial Intelligence
118026310,Artificial Intelligence (AI) and Data Science,1180,Artificial Intelligence
211326310,Artificial Intelligence (AI) and Data Science,2113,Artificial Intelligence
211626310,Artificial Intelligence (AI) and Data Science,2116,Artificial Intelligence
319026310,Artificial Intelligence (AI) and Data Science,3190,Artificial Intelligence
319926310,Artificial Intelligence (AI) and Data Science,3199,Artificial Intelligence
350326310,Artificial Intelligence (AI) and Data Science,3503,Artificial Intelligence
417226310,Artificial Intelligence (AI) and Data Science,4172,Artificial Intelligence
510826310,Artificial Intelligence (AI) and Data Science,5108,Artificial Intelligence
517126310,Artificial Intelligence (AI) and Data Science,5171,Artificial Intelligence
517926310,Artificial Intelligence (AI) and Data Science,5179,Artificial Intelligence
518226310,Artificial Intelligence (AI) and Data Science,5182,Artificial Intelligence
538226310,Artificial Intelligence (AI) and Data Science,5382,Artificial Intelligence
540126310,Artificial Intelligence (AI) and Data Science,5401,Artificial Intelligence
541826310,Artificial Intelligence (AI) and Data Science,5418,Artificial Intelligence
603626310,Artificial Intelligence (AI) and Data Science,6036,Artificial Intelligence
613826310,Artificial Intelligence (AI) and Data Science,6138,Artificial Intelligence
614526310,Artificial Intelligence (AI) and Data Science,6145,Artificial Intelligence
621726310,Artificial Intelligence (AI) and Data Science,6217,Artificial Intelligence
622226310,Artificial Intelligence (AI) and Data Science,6222,Artificial Intelligence
627126310,Artificial Intelligence (AI) and Data Science,6271,Artificial Intelligence
627726310,Artificial Intelligence (AI) and Data Science,6277,Artificial Intelligence
628326310,Artificial Intelligence (AI) and Data Science,6283,Artificial Intelligence
631826310,Artificial Intelligence (AI) and Data Science,6318,Artificial Intelligence
631926310,Artificial Intelligence (AI) and Data Science,6319,Artificial Intelligence
632426310,Artificial Intelligence (AI) and Data Science,6324,Artificial Intelligence
654526310,Artificial Intelligence (AI) and Data Science,6545,Artificial Intelligence
660926310,Artificial Intelligence (AI) and Data Science,6609,Artificial Intelligence
675526310,Artificial Intelligence (AI) and Data Science,6755,Artificial Intelligence
675726310,Artificial Intelligence (AI) and Data Science,6757,Artificial Intelligence
680826310,Artificial Intelligence (AI) and Data Science,6808,Artificial Intelligence
683426310,Artificial Intelligence (AI) and Data Science,6834,Artificial Intelligence
1612126310,Artificial Intelligence (AI) and Data Science,16121,Artificial Intelligence
110799510,Artificial Intelligence and Data Science,1107,Artificial Intelligence
111799510,Artificial Intelligence and Data Science,1117,Artificial Intelligence
126899510,Artificial Intelligence and Data Science,1268,Artificial Intelligence
211199510,Artificial Intelligence and Data Science,2111,Artificial Intelligence
213099510,Artificial Intelligence and Data Science,2130,Artificial Intelligence
252299510,Artificial Intelligence and Data Science,2522,Artificial Intelligence
253399510,Artificial Intelligence and Data Science,2533,Artificial Intelligence
304299510,Artificial Intelligence and Data Science,3042,Artificial Intelligence
313599510,Artificial Intelligence and Data Science,3135,Artificial Intelligence
314699510,Artificial Intelligence and Data Science,3146,Artificial Intelligence
314899510,Artificial Intelligence and Data Science,3148,Artificial Intelligence
317699510,Artificial Intelligence and Data Science,3176,Artificial Intelligence
318299510,Artificial Intelligence and Data Science,3182,Artificial Intelligence
318599510,Artificial Intelligence and Data Science,3185,Artificial Intelligence
318799510,Artificial Intelligence and Data Science,3187,Artificial Intelligence
319299510,Artificial Intelligence and Data Science,3192,Artificial Intelligence
319499510,Artificial Intelligence and Data Science,3194,Artificial Intelligence
319899510,Artificial Intelligence and Data Science,3198,Artificial Intelligence
320199510,Artificial Intelligence and Data Science,3201,Artificial Intelligence
320999510,Artificial Intelligence and Data Science,3209,Artificial Intelligence
321199510,Artificial Intelligence and Data Science,3211,Artificial Intelligence
347199510,Artificial Intelligence and Data Science,3471,Artificial Intelligence
412399510,Artificial Intelligence and Data Science,4123,Artificial Intelligence
414199510,Artificial Intelligence and Data Science,4141,Artificial Intelligence
414599510,Artificial Intelligence and Data Science,4145,Artificial Intelligence
414799510,Artificial Intelligence and Data Science,4147,Artificial Intelligence
416799510,Artificial Intelligence and Data Science,4167,Artificial Intelligence
510999510,Artificial Intelligence and Data Science,5109,Artificial Intelligence
512199510,Artificial Intelligence and Data Science,5121,Artificial Intelligence
513999510,Artificial Intelligence and Data Science,5139,Artificial Intelligence
515199510,Artificial Intelligence and Data Science,5151,Artificial Intelligence
516199510,Artificial Intelligence and Data Science,5161,Artificial Intelligence
516299510,Artificial Intelligence and Data Science,5162,Artificial Intelligence
517299510,Artificial Intelligence and Data Science,5172,Artificial Intelligence
517399510,Artificial Intelligence and Data Science,5173,Artificial Intelligence
517799510,Artificial Intelligence and Data Science,5177,Artificial Intelligence
518199510,Artificial Intelligence and Data Science,5181,Artificial Intelligence
