College_Name,District,Other district,,,,,,
"Government College of Engineering, Amravati",Amravati,Amravati,,,,,,Chhatrapati Sambhajinagar
"Sant Gadge Baba Amravati University,Amravati","University,Amravati",Amravati,,,,,,Beed
"Government College of Engineering,Yavatmal","Engineering,Yavatmal",Yavatmal,,,,,,Jalna
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Engineering,Shegaon",Buldhana,,,,,,Dharashiv
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Amravati,,,,,,Nanded
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati,Amravati,,,,,,Hingoli
"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati,Amravati,,,,,,Latur
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Amravati,,,,,,Parbhani
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Akola,Akola,,,,,,Mumbai City
"Janata Shikshan Prasarak Mandalƒ??s Babasaheb Naik College Of Engineering, Pusad",Pusad,Yavatmal,,,,,,Mumbai Suburban
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Chikhali,Buldhana,,,,,,Ratnagiri
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Yavatmal,Yavatmal,,,,,,Raigad
"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Amravati,,,,,,Palghar
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati,Amravati,,,,,,Sindhudurg
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Buldhana,Buldhana,,,,,,Thane
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Buldhana,Buldhana,,,,,,Dhule
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati,Amravati,,,,,,Jalgaon
"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati,Amravati,,,,,,Nandurbar
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Yavatmal,Yavatmal,,,,,,Ahmednagar
"Prof Ram Meghe College of Engineering and Management, Badnera",Badnera,Amravati,,,,,,Nashik
"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Yelgaon,Buldhana,,,,,,Pune
"Sanmati Engineering College, Sawargaon Barde, Washim",Washim,Washim,,,,,,Kolhapur
"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Buldhana,Buldhana,,,,,,Sangli
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Shegaon.,Buldhana,,,,,,Satara
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Nile,Buldhana,,,,,,Solapur
"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",444302,Akola,,,,,,Akola
"Government College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,Amravati
"Government College of Engineering, Chhatrapati Sambhajinagar",Sambhajinagar,Chhatrapati Sambhajinagar,,,,,,Buldhana
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Nanded,,,,,,Washim
"University Department of Chemical Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,Yavatmal
"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Jalna,Jalna,,,,,,Bhandara
"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Ohar,Chhatrapati Sambhajinagar,,,,,,Gondia
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,Nagpur
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,Wardha
"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,Chandrapur
"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Nanded,Nanded,,,,,,Gadchiroli
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Nanded.,Nanded,,,,,,
"M.S. Bidve Engineering College, Latur",Latur,Latur,,,,,,
"Terna Public Charitable Trust's College of Engineering, Osmanabad",Osmanabad,Osmanabad,,,,,,
"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Dharashiv,,,,,,
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Ambejogai,Beed,,,,,,
"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,
"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,
"Aditya Engineering College , Beed",Beed,Beed,,,,,,
"Nagnathappa Halge Engineering College, Parli, Beed",Beed,Beed,,,,,,
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Jalna,Jalna,,,,,,
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Osmanabad,Osmanabad,,,,,,
"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Parbhani,Parbhani,,,,,,
"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Latur,Latur,,,,,,
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Beed,Beed,,,,,,
GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,NANDED.,Nanded,,,,,,
International Centre Of Excellence In Engineering and Management (ICEEM),(ICEEM),Chhatrapati Sambhajinagar,,,,,,
"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Latur.,Latur,,,,,,
"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,,,,,,
"Gramin College of Engineering, Vishnupuri, Nanded",Nanded,Nanded,,,,,,
"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Nanded,Nanded,,,,,,
Dr. V.K. Patil College of Engineering & Technology,Technology,Osmanabad,,,,,,
Mangaldeep College of Engineering,Engineering,Chhatrapati Sambhajinagar,,,,,,
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,Mumbai City,,,,,,
"Sardar Patel College of Engineering, Andheri",Andheri,Mumbai Suburban,,,,,,
Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,Engineering,Mumbai City,,,,,,
"Dr. Babasaheb Ambedkar Technological University, Lonere",Lonere,Raigad,,,,,,
"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",Mumbai,Mumbai Suburban,,,,,,
"Institute of Chemical Technology, Matunga, Mumbai",Mumbai,Mumbai City,,,,,,
"Government College of Engineering, Ratnagiri",Ratnagiri,Ratnagiri,,,,,,
"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Ratnagiri,Ratnagiri,,,,,,
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Mumbai Suburban,,,,,,
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,Mumbai City,,,,,,
"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai,Mumbai Suburban,,,,,,
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai,Raigad,,,,,,
