College_Name,District
"Government College of Engineering, Amravati",Amravati
"Sant Gadge Baba Amravati University,Amravati",Amravati
"Government College of Engineering,Yavatmal",Yavatmal
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Buldhana
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati
"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Akola
"Janata Shikshan Prasarak Mandalƒ??s Babasaheb Naik College Of Engineering, Pusad",Yavatmal
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Buldhana
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Yavatmal
"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Amravati
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Buldhana
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Buldhana
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati
"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Yavatmal
"Prof Ram Meghe College of Engineering and Management, Badnera",Amravati
"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Buldhana
"Sanmati Engineering College, Sawargaon Barde, Washim",Washim
"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Buldhana
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Buldhana
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Buldhana
"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Akola
"Government College of Engineering, Aurangabad",Chhatrapati Sambhajinagar
"Government College of Engineering, Chhatrapati Sambhajinagar",Chhatrapati Sambhajinagar
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded
"University Department of Chemical Technology, Aurangabad",Chhatrapati Sambhajinagar
"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Jalna
"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Chhatrapati Sambhajinagar
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Chhatrapati Sambhajinagar
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Chhatrapati Sambhajinagar
"Deogiri Institute of Engineering and Management Studies, Aurangabad",Chhatrapati Sambhajinagar
"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Nanded
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Chhatrapati Sambhajinagar
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Nanded
"M.S. Bidve Engineering College, Latur",Latur
"Terna Public Charitable Trust's College of Engineering, Osmanabad",Osmanabad
"Shree Tuljabhavani College of Engineering, Tuljapur",Dharashiv
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Beed
"Peoples Education Society's College of Engineering, Aurangabad",Chhatrapati Sambhajinagar
"Hi-Tech Institute of Technology, Aurangabad",Chhatrapati Sambhajinagar
"Aditya Engineering College , Beed",Beed
"Nagnathappa Halge Engineering College, Parli, Beed",Beed
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Jalna
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Chhatrapati Sambhajinagar
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Osmanabad
"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Chhatrapati Sambhajinagar
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Parbhani
"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Latur
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Beed
GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Nanded
International Centre Of Excellence In Engineering and Management (ICEEM),Chhatrapati Sambhajinagar
"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Latur
"CSMSS Chh. Shahu College of Engineering, Aurangabad",Chhatrapati Sambhajinagar
"Gramin College of Engineering, Vishnupuri, Nanded",Nanded
"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Nanded
Dr. V.K. Patil College of Engineering & Technology,Osmanabad
Mangaldeep College of Engineering,Chhatrapati Sambhajinagar
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai City
"Sardar Patel College of Engineering, Andheri",Mumbai Suburban
Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,Mumbai City
"Dr. Babasaheb Ambedkar Technological University, Lonere",Raigad
"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",Mumbai Suburban
"Institute of Chemical Technology, Matunga, Mumbai",Mumbai City
"Government College of Engineering, Ratnagiri",Ratnagiri
"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Ratnagiri
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai Suburban
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai City
"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai Suburban
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Raigad
"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Raigad
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai Suburban
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Raigad
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Raigad
"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai Suburban
"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai Suburban
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai City
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai Suburban
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai Suburban
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Thane
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai City
"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Thane
"Terna Engineering College, Nerul, Navi Mumbai",Thane
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Thane
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Thane
"Vidyavardhini's College of Engineering and Technology, Vasai",Palghar
"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Thane
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Thane
"Konkan Gyanpeeth College of Engineering, Karjat",Raigad
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai Suburban
"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Ratnagiri
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai Suburban
Rajendra Mane College of Engineering & Technology Ambav Deorukh,Ratnagiri
"Atharva College of Engineering,Malad(West),Mumbai",Mumbai Suburban
"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai Suburban
"S.S.P.M.'s College of Engineering, Kankavli",Sindhudurg
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Raigad
"Don Bosco Institute of Technology, Mumbai",Mumbai Suburban
"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai Suburban
K J Somaiya Institute of Technology,Mumbai Suburban
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Thane
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Thane
"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",Thane
"Watumull Institute of Engineering & Technology, Ulhasnagar",Thane
"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai City
"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Mumbai Suburban
"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Ratnagiri
"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Thane
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Palghar
"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Thane
Yadavrao Tasgaonkar College of Engineering & Management,Raigad
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Palghar
"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Palghar
