Branch_Code,Category,2020,2021,2022,2023,2024,Predicted_2024_RF
100219110,DEFOBCS,,,,,124882.0,124882.0
100219110,DEFOPENS,35039.0,46444.0,88218.0,114710.0,88930.0,94475.44
100219110,DEFROBCS,36639.0,71028.0,98060.0,,,87149.67
100219110,DEFRSEBCS,,,,,120638.0,120638.0
100219110,EWS,14097.0,26147.0,52672.0,51497.0,90204.0,76618.87
100219110,GNT1S,17926.0,23850.0,41586.0,55202.0,34281.0,39813.98
100219110,GNT2S,22831.0,23704.0,51711.0,47207.0,41658.0,43389.88
100219110,GNT3S,14822.0,44825.0,49334.0,58799.0,35923.0,42758.81
100219110,GOBCS,14638.0,25843.0,46967.0,55212.0,42649.0,45755.89
100219110,GOPENS,12517.0,21750.0,40678.0,45820.0,34240.0,37335.86
100219110,GSCS,22798.0,32144.0,55830.0,54803.0,62739.0,59659.47
100219110,GSEBCS,,,,,69130.0,69130.0
100219110,GSTS,48088.0,49581.0,86718.0,85528.0,91124.0,88585.72
100219110,GVJS,17483.0,30806.0,45691.0,53198.0,54224.0,52901.83
100219110,LNT1S,,68369.0,,71604.0,,70762.9
100219110,LNT2S,22621.0,47003.0,72814.0,59895.0,80230.0,73962.59
100219110,LNT3S,,,,85506.0,,85506.0
100219110,LOBCS,18303.0,23336.0,41709.0,50933.0,47396.0,47400.96
100219110,LOPENS,14417.0,22019.0,30535.0,39555.0,35071.0,35613.44
100219110,LSCS,25506.0,27275.0,50420.0,58069.0,47557.0,49979.77
100219110,LSEBCS,,,,,112136.0,112136.0
100219110,LSTS,40879.0,57303.0,79098.0,81275.0,89332.0,85960.79
100219110,LVJS,17255.0,33671.0,40679.0,55889.0,54046.0,53163.56
100219110,PWDOBCS,,,,,153595.0,153595.0
100219110,PWDOPENS,,62892.0,,66222.0,115494.0,98575.02
100219110,PWDROBCS,,,,,155782.0,155782.0
100219110,TFWS,9631.0,16897.0,19635.0,25437.0,41891.0,35719.7
100224210,DEFOBCS,,,,,36001.0,36001.0
100224210,DEFOPENS,12165.0,11104.0,15876.0,14766.0,27598.0,23239.58
100224210,DEFROBCS,16708.0,23851.0,,16792.0,31634.0,27823.95
100224210,DEFRSCS,,,23301.0,,,23301.0
100224210,EWS,5821.0,5378.0,7872.0,10297.0,13851.0,12374.51
100224210,GNT1S,7607.0,9216.0,7766.0,13430.0,16746.0,15137.8
100224210,GNT2S,8402.0,5013.0,9524.0,10052.0,16443.0,14132.32
100224210,GNT3S,9385.0,10315.0,10818.0,15513.0,,14116.24
100224210,GOBCS,4671.0,5452.0,6904.0,7626.0,8931.0,8393.28
100224210,GOPENS,4109.0,4731.0,6412.0,6839.0,7872.0,7448.73
100224210,GSCS,10315.0,8734.0,9920.0,14995.0,17571.0,16214.69
100224210,GSEBCS,,,,,15942.0,15942.0
100224210,GSTS,32442.0,32517.0,41139.0,42063.0,56026.0,51022.98
100224210,GVJS,13537.0,16689.0,17056.0,10351.0,17052.0,15369.77
100224210,LNT1S,13863.0,8590.0,7378.0,,20457.0,16748.93
100224210,LNT2S,7216.0,15015.0,14019.0,,,13967.69
100224210,LNT3S,,,,,23863.0,23863.0
100224210,LOBCS,4383.0,5729.0,6218.0,8159.0,9823.0,9072.77
100224210,LOPENS,3952.0,4280.0,4603.0,7359.0,9308.0,8390.84
100224210,LSCS,12391.0,13443.0,8998.0,18093.0,15485.0,15642.07
100224210,LSEBCS,,,,,15409.0,15409.0
100224210,LSTS,33669.0,24468.0,32400.0,46043.0,45930.0,44581.91
100224210,LVJS,,13177.0,15893.0,,,15186.84
100224210,ORPHAN,,,,,40407.0,40407.0
100224210,PWDOBCS,,,,,49777.0,49777.0
100224210,PWDOPENS,36709.0,27025.0,79110.0,41373.0,33711.0,38670.71
100224210,PWDROBCS,,42953.0,79305.0,45737.0,,55332.52
100224210,PWDRSCS,38936.0,,,,46875.0,44810.86
100224210,TFWS,3662.0,3541.0,4763.0,6790.0,5518.0,5743.61
100224610,DEFOBCS,,,,,51336.0,51336.0
100224610,DEFOPENS,19427.0,22103.0,24544.0,30013.0,33941.0,32064.45
100224610,DEFRNT1S,,,,,37872.0,37872.0
100224610,DEFROBCS,20732.0,24845.0,28236.0,30456.0,,29574.83
100224610,EWS,7351.0,8743.0,9683.0,12526.0,18299.0,16061.51
100224610,GNT1S,10163.0,12800.0,9228.0,16268.0,22548.0,19850.64
100224610,GNT2S,11149.0,10065.0,9942.0,12552.0,18106.0,15985.2
100224610,GNT3S,,13598.0,20505.0,16999.0,17692.0,17736.45
100224610,GOBCS,6851.0,7557.0,8735.0,11044.0,12727.0,11923.41
100224610,GOPENS,6194.0,6919.0,8456.0,10303.0,12001.0,11226.71
100224610,GSCS,16108.0,15257.0,13932.0,18667.0,22810.0,21001.73
100224610,GSEBCS,,,,,18460.0,18460.0
100224610,GSTS,38361.0,44970.0,44445.0,43516.0,57428.0,52792.03
100224610,GVJS,13931.0,22403.0,16510.0,23597.0,22090.0,22082.41
100224610,LNT1S,,17143.0,21744.0,16115.0,,17798.81
100224610,LNT2S,,17062.0,17754.0,12233.0,20674.0,18612.58
100224610,LNT3S,26192.0,,,,,26192.0
100224610,LOBCS,7926.0,8290.0,9179.0,10354.0,12683.0,11767.61
100224610,LOPENS,6948.0,7932.0,8400.0,9567.0,11632.0,10815.51
100224610,LSCS,15699.0,17620.0,14435.0,21001.0,22774.0,21643.94
100224610,LSEBCS,,,,,19600.0,19600.0
100224610,LSTS,28410.0,38033.0,31172.0,55122.0,62455.0,57943.5
100224610,LVJS,28682.0,28406.0,,,,28477.76
100224610,ORPHAN,,,,,100069.0,100069.0
100224610,PWDOBCS,,,,,109674.0,109674.0
100224610,PWDOPENS,,62864.0,80636.0,66253.0,84120.0,79945.38
