Branch_Code,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRSEBCS,DEFRVJS,DEFSCS,DEFSEBCS,DEFSTS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSEBCH,GSEBCO,GSEBCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSEBCH,LSEBCO,LSEBCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1H,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDRNT3S,PWDROBCH,PWDROBCS,PWDRSCH,PWDRSCS,PWDRSEBCH,PWDRSEBCS,PWDRSTH,PWDRSTS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,PWDSEBCS,TFWS
100219110,124882.0,94475.44,,,,87149.67,,120638.0,,,,,76618.87,,,39813.98,,,43389.88,,,42758.81,,,45755.89,,,37335.86,,,59659.47,,,69130.0,,,88585.72,,,52901.83,,,70762.9,,,73962.59,,,85506.0,,,47400.96,,,35613.44,,,49979.77,,,112136.0,,,85960.79,,,53163.56,,,,153595.0,,98575.02,,,,,,,155782.0,,,,,,,,,,,,35719.7
100224210,36001.0,23239.58,,,,27823.95,23301.0,,,,,,12374.51,,,15137.8,,,14132.32,,,14116.24,,,8393.28,,,7448.73,,,16214.69,,,15942.0,,,51022.98,,,15369.77,,,16748.93,,,13967.69,,,23863.0,,,9072.77,,,8390.84,,,15642.07,,,15409.0,,,44581.91,,,15186.84,,40407.0,,49777.0,,38670.71,,,,,,,55332.52,,44810.86,,,,,,,,,,5743.61
100224610,51336.0,32064.45,37872.0,,,29574.83,,,,,,,16061.51,,,19850.64,,,15985.2,,,17736.45,,,11923.41,,,11226.71,,,21001.73,,,18460.0,,,52792.03,,,22082.41,,,17798.81,,,18612.58,,,26192.0,,,11767.61,,,10815.51,,,21643.94,,,19600.0,,,57943.5,,,28477.76,,100069.0,,109674.0,,79945.38,,,,,,,85671.6,,83223.16,,,,,,,,,,9500.79
100229310,164128.0,61768.63,,,,88921.81,66643.0,,,,,,45214.04,,,38277.94,,,43558.93,,,58988.72,,,31167.34,,,28994.13,,,42732.18,,,47938.0,,,102118.15,,,40545.05,,,35130.34,,,29321.55,,,87211.0,,,29952.16,,,26052.65,,,44540.56,,,61280.0,,,105487.94,,,40659.84,,80761.0,,153875.0,,103367.14,,,,,,,,,89352.0,,,,,,,,,,25781.43
100237210,63680.0,29440.4,,,,57326.19,61244.36,,,,,,22203.52,,,22748.87,,,21675.98,,,30659.94,,,18016.32,,,16995.22,,,30666.5,,,23887.0,,,78722.13,,,32053.46,,,19820.76,,,29911.12,,,,,,16704.95,,,14833.95,,,27767.22,,,25005.0,,,109585.7,,,48134.96,,,,164763.0,,133103.15,,,,,,,104414.0,,,,,,,,,,,,14284.05
100246610,,113852.0,,,,,,,,,,,53815.92,,,62389.98,,,54104.68,,,28873.0,,,52219.68,,,44092.75,,,73579.67,,,98636.0,,,139846.55,,,66941.45,,,73493.0,,,28439.0,,,155962.0,,,51001.55,,,47702.94,,,72066.18,,,51737.0,,,108341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37317.75
100261210,153674.0,96551.9,,,,115605.88,,,,,,,64582.69,,,55835.42,,,47258.39,,,54924.79,,,40546.26,,,37504.78,,,58953.07,,,69475.0,,,110088.68,,,55284.59,,,62050.19,,,55150.67,,,56398.0,,,51630.7,,,41491.58,,,60270.3,,,55218.0,,,126698.55,,,72782.23,,,,,,104020.78,,,,,,,,,,,,,,,,,,,35388.75
100550310,,,,,,,,,,,,,77964.49,123536.34,,,71180.5,,,,104503.0,,51755.26,52049.9,,45018.9,37144.12,,49869.81,44552.11,,95096.0,,,112544.91,,,121233.68,97252.0,,,,,,,,,,,46918.53,,,36784.05,10194.0,,43826.0,,,56660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54026.76
100551710,,,,,,,,,,,,,105480.23,,,,,,,,,,144477.36,100556.58,,114832.04,78324.8,,134113.48,,,,166677.0,,,,,146620.0,,,,,,,,,,,,84752.0,64803.0,,107607.73,123353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118730.16
100552410,,,,,,,,,,,,,50595.0,,,,,,,,,,,77842.0,,106384.86,56638.0,,,,,,,,,,,,,,,,,,,,,,,67655.0,167643.0,,146913.54,162710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36428.0
100552710,,,,,,,,,,,,,97609.28,,,,81008.0,,,35481.0,,,126750.47,64288.8,,99170.06,39614.56,,119701.26,91805.87,,,,,86206.02,,,,,,,,,,,,,,,49503.5,,,68911.5,26551.0,,136839.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33901.42
101219110,,178396.0,,,,,,,,,,,127593.99,73880.36,86448.77,,103164.93,92940.05,,104594.46,107534.0,,90584.31,82142.13,,78939.3,65094.37,,94523.94,86189.15,,,126612.0,,135747.7,91327.0,,83789.54,73646.42,,84099.14,,,53070.0,,,,,,89874.98,85418.59,,75530.89,64104.55,,82513.55,95353.6,,168707.0,,,126225.68,118559.04,,85105.0,,,,,,,155989.0,,,,,,,,,,,,,,,,,,,,68146.85
101224510,120452.0,54859.67,,,,71741.54,,,,,,,41807.64,37842.38,34247.0,,44384.36,26662.87,,36317.79,,,36556.59,24670.63,,34873.16,23325.46,,46011.22,29699.35,,75843.0,32683.0,,94180.96,80442.7,,38224.55,25196.8,,36156.0,,,,55005.84,,61227.86,,,36541.95,30316.28,,31204.69,29655.14,,44532.29,40773.77,,61101.0,,,83930.34,66069.0,,,37013.0,,,,170925.0,,90461.84,,,,,,,101934.8,,,,,,,,,,,,,21476.56
101229310,,119897.12,,,,,,,,,,,111918.53,99104.83,86336.0,,110601.72,68555.44,,104828.92,87356.0,,77451.84,63160.87,,70153.81,58159.1,,92554.62,63214.69,,105126.0,123017.0,,133569.61,100529.42,,83840.94,69025.06,,,,,110083.25,,,,85978.0,,73487.22,69927.96,,68872.92,68450.08,,83215.1,82160.36,,136336.0,129121.0,,135910.34,,,45195.0,136069.0,,,,,,168308.0,,,,,,,,,,,,,,,,,,,,54890.37
101237210,,79331.5,,,,104661.92,,,,,,,68136.41,75760.9,75007.9,,76550.41,60133.56,,65876.13,,,58757.64,41561.26,,55441.13,34122.88,,78833.72,60040.68,,89670.0,55432.0,,143072.01,82212.0,,64202.89,60190.76,,77876.0,82530.86,,42583.0,,,,57376.0,,55809.08,41371.48,,54593.46,37759.34,,60398.31,54187.99,,97416.0,100349.0,,144902.0,139688.1,,102615.63,,,,,,,,,,,,,,,,,,,,,,,,,,,44222.18
101261210,,91200.0,,,,,,,,,,,125280.35,82003.65,71496.31,,120803.58,89353.54,,97754.35,,,94840.48,74787.36,,85699.96,63253.95,,119961.53,91071.91,,105086.0,95767.0,,150293.76,149564.59,,98797.8,100740.43,,156769.0,,,142317.0,,,,,,104502.5,95966.27,,87850.07,63936.13,,118948.14,117530.14,,136907.0,,,153072.14,,,,,,,,,,109381.0,,,,,,,,,,,,,,,,,,,,62955.6
110124210,,45416.61,,,,,,,,,,,23207.09,21981.48,26438.0,,14909.7,32176.64,,36046.22,35307.0,,17493.03,15393.8,,16773.09,13776.83,,37113.08,30730.19,,22737.0,,,84624.82,90519.66,,33830.46,32001.0,,,,,,,,,,,16666.84,16925.19,,15410.41,14610.15,,28509.84,30153.41,,20919.0,21066.0,,44917.69,,,42413.0,,,,,,,56458.21,,,,,,,123466.19,,,,,,,,,,,,,11375.43
